"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2012-08-13",46.976744,32.239172,37.821312,12.21,19.895418,45.0344
"2012-08-14",46.816572,32.061881,37.590854,11.71,19.921066,44.979635
"2012-08-15",47.005008,31.90325,37.839043,11.39,20.006564,45.30822
"2012-08-16",47.34419,31.856595,37.688362,11.84,20.100611,45.58204
"2012-08-17",47.542046,31.744622,37.768134,11.95,19.886863,46.567797
"2012-08-20",47.532626,31.632649,37.883362,12,19.715864,46.567797
"2012-08-21",46.769464,31.763284,37.378132,11.95,19.946715,46.202701
"2012-08-22",46.788308,31.697966,37.395853,11.79,20.117712,46.184446
"2012-08-23",46.326642,31.679304,37.050171,11.61,19.929611,45.791969
"2012-08-24",46.694092,31.679304,37.307226,11.71,19.929611,46.193575
"2012-08-27",46.760044,31.697966,37.103359,11.64,19.989463,45.892371
"2012-08-28",46.760044,31.679304,36.810851,11.49,19.903965,45.874116
"2012-08-29",47.146335,31.679304,37.328188,11.73,19.99801,45.93801
"2012-08-30",46.562185,31.380707,36.99816,11.43,19.775715,45.55466
"2012-08-31",46.609297,31.287393,37.060602,11.31,19.99801,45.645932
"2012-09-04",46.788308,31.287393,36.882205,11.3,20.117712,45.052655
"2012-09-05",47.852965,31.455354,37.684966,11.07,20.305811,44.705815
"2012-09-06",48.861089,32.332486,38.550162,11.22,20.947043,45.481642
"2012-09-07",48.74803,32.155192,38.924777,11.64,20.921395,46.42176
"2012-09-10",48.540751,31.884587,38.416363,11.75,20.71977,46.330484
"2012-09-11",48.578438,31.977901,38.389609,11.93,20.891364,46.467396
"2012-09-12",48.710342,32.276498,38.416363,12.04,20.71977,46.627993
"2012-09-13",49.558295,32.892354,39.54023,12.5,20.89994,47.958645
"2012-09-14",49.322752,32.939009,39.879168,13.05,21.165916,47.839347
"2012-09-17",49.13432,32.715064,40.021878,13.11,21.105856,48.151363
"2012-09-18",48.898777,32.519106,40.021878,13.21,21.002899,47.490623
"2012-09-19",49.652515,33.013661,40.592733,13.29,21.346086,49.14247
"2012-09-20",49.614827,33.545537,40.842482,12.87,21.466196,49.904157
"2012-09-21",49.690203,33.797478,40.940593,12.7,21.414723,49.839919
"2012-09-24",49.859791,33.993432,40.869237,12.36,21.294612,50.665841
"2012-09-25",49.501767,33.461556,40.128918,12.05,20.977161,49.995925
"2012-09-26",48.936461,32.771048,39.816737,11.85,20.882789,49.023169
"2012-09-27",49.539455,33.396238,40.476778,12.12,21.148755,49.693088
"2012-09-28",49.2568,33.349583,40.441101,11.7,21.028635,49.179179
"2012-10-01",49.058945,33.164917,40.583811,11.84,21.062959,49.206708
"2012-10-02",48.65381,33.596116,40.405425,11.85,21.140171,49.619671
"2012-10-03",49.435816,33.933578,40.851393,11.89,21.243127,49.839919
"2012-10-04",49.586563,34.214795,40.878158,11.74,21.483357,51.069628
"2012-10-05",49.906902,34.252291,41.190342,12,21.612052,51.308227
"2012-10-08",49.303912,33.94295,41.475761,11.91,21.560578,51.978142
"2012-10-09",48.531327,33.108672,40.637331,11.51,21.123019,51.592713
"2012-10-10",48.248676,32.95869,40.441101,11.37,20.882789,50.124401
"2012-10-11",47.428986,32.930569,40.146754,11.44,20.771255,49.83074
"2012-10-12",47.664529,33.539872,40.191352,11.36,20.685457,49.858273
"2012-10-15",47.852965,34.149178,40.111074,11.69,20.89994,49.931687
"2012-10-16",48.276943,34.37415,40.396503,12,21.251713,50.564894
"2012-10-17",49.266224,34.795977,40.72652,12.23,21.620629,50.794317
"2012-10-18",49.388704,34.955335,40.922756,12.35,21.809383,50.996211
"2012-10-19",48.898777,34.636622,40.075398,12.15,21.371824,50.170285
"2012-10-22",48.795138,34.711611,40.128918,12.35,21.217391,50.702549
"2012-10-23",47.824697,34.149178,39.263726,12.09,20.676871,49.280125
"2012-10-24",47.721061,34.139802,39.254804,12.02,20.96,49.390248
"2012-10-25",47.353611,34.083561,38.880189,11.9,20.668296,49.059878
"2012-10-26",47.184023,35.208431,38.924777,11.85,20.410905,48.206423
"2012-10-31",46.279534,35.180307,38.773145,11.74,20.531025,47.068485
"2012-11-01",46.901368,35.199055,39.067496,11.82,20.814154,47.508977
"2012-11-02",46.976744,35.2553,38.675038,11.33,20.496703,46.765645
"2012-11-05",47.410142,35.086569,38.389609,11.25,20.522439,46.517867
"2012-11-06",47.55147,34.842845,38.452043,11.18,20.831304,46.444453
"2012-11-07",47.184023,34.289788,40.057554,11.18,21.165916,46.132437
"2012-11-08",47.146335,33.933578,39.361833,10.9,20.89994,45.361575
"2012-11-09",44.33866,33.858585,39.843492,10.86,20.951423,45.113797
"2012-11-12",44.706107,33.905454,39.825659,10.65,20.83989,45.058735
"2012-11-13",45.186614,33.849213,39.789972,10.77,20.711195,44.801782
"2012-11-14",44.442296,33.183665,39.335079,9.82,20.196413,44.040098
"2012-11-15",44.724951,32.939942,39.281559,9.81,19.836074,45.178036
"2012-11-16",44.677839,33.230534,39.870247,10.12,19.981921,45.389105
"2012-11-19",45.139506,33.755471,40.387582,10.19,20.565338,46.251739
"2012-11-20",45.638856,34.27104,40.699762,9.99,20.599662,45.85713
"2012-11-21",45.864979,34.205422,40.111074,10.08,20.436643,45.618528
"2012-11-23",46.411438,34.599125,41.163577,10.02,20.848467,46.325152
"2012-11-26",46.194738,34.336657,41.493604,9.9,20.702609,46.003961
"2012-11-27",45.789604,34.017943,41.564957,9.74,20.531025,46.233384
"2012-11-28",46.35491,34.364777,42.147977,9.79,20.908526,46.74729
"2012-11-29",46.84484,34.552256,42.192825,9.9,21.208815,47.160253
"2012-11-30",46.788308,34.87097,42.426032,9.74,21.140171,47.362146
"2012-12-03",46.439705,34.758484,41.977551,9.69,21.045796,46.839062
"2012-12-04",46.449125,34.87097,41.887861,9.63,21.028635,47.068485
"2012-12-05",46.722356,34.571005,41.304842,9.7,20.805568,47.160253
"2012-12-06",46.932818,34.814725,41.77126,10.01,21.105856,48.188068
"2012-12-07",47.105014,34.711611,41.986523,10.12,21.3375,49.14247
"2012-12-10",47.16241,34.917839,41.82508,9.98,21.328925,49.757326
"2012-12-11",47.334606,35.058449,42.27355,9.89,21.388985,50.050988
"2012-12-12",47.487668,35.077193,42.390155,10.23,21.268865,49.954143
